,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age
34,650000,16200,Diesel,Individual,Manual,1.0,24.3,1248 ,88.5,5.0,4
35,330000,10000,CNG,Individual,Manual,2.0,33.44,796 ,40.3,4.0,2
36,366000,15000,Petrol,Individual,Manual,1.0,23.95,998 ,67.1,5.0,2
37,1149000,5000,Petrol,Individual,Manual,1.0,17.0,1591 ,121.3,5.0,2
38,150000,42000,Petrol,Individual,Manual,1.0,20.63,1198 ,67,5.0,5
39,425000,60000,Diesel,Individual,Manual,2.0,13.93,2179 ,138.03,7.0,10
40,150000,76000,Petrol,Individual,Manual,1.0,16.1,796 ,37,4.0,9
41,2100000,5000,Petrol,Individual,Automatic,1.0,16.0,1368 ,160.77,5.0,2
42,925000,28900,Petrol,Dealer,Manual,1.0,17.8,1497 ,117.3,5.0,3
43,425000,86300,Petrol,Dealer,Manual,1.0,16.8,1497 ,116.3,5.0,8
44,675000,23300,Petrol,Dealer,Automatic,1.0,18.5,1197 ,83.14,5.0,3
45,819999,32600,Diesel,Dealer,Manual,1.0,24.3,1248 ,88.5,5.0,3
46,390000,10300,Petrol,Dealer,Manual,1.0,23.95,998 ,67.05,5.0,3
47,1500000,77000,Diesel,Dealer,Manual,1.0,12.55,2982 ,168.5,7.0,7
48,700000,99000,Diesel,Dealer,Manual,1.0,12.99,2494 ,100,7.0,8
49,1450000,27800,Diesel,Dealer,Automatic,2.0,14.8,2143 ,120.7,5.0,7
50,425000,49800,Diesel,Dealer,Manual,1.0,24.7,1498 ,98.63,5.0,6
51,1090000,151000,Diesel,Dealer,Manual,1.0,13.5,2477 ,175.56,7.0,8
52,600000,54700,Diesel,Dealer,Manual,1.0,26.0,1498 ,98.6,5.0,6
53,850000,64000,Petrol,Dealer,Manual,1.0,20.65,1462 ,103.25,5.0,3
54,525000,63000,Diesel,Dealer,Manual,1.0,27.3,1498 ,98.6,5.0,6
55,1650000,127700,Diesel,Dealer,Automatic,2.0,11.36,2755 ,171.5,7.0,5
56,950000,99000,Diesel,Dealer,Manual,1.0,12.99,2494 ,100.6,7.0,5
57,1750000,33900,Diesel,Dealer,Automatic,2.0,17.68,1968 ,174.33,5.0,8
58,1590000,25000,Petrol,Dealer,Automatic,1.0,14.28,1798 ,138.03,5.0,3
59,1689999,50000,Diesel,Dealer,Automatic,1.0,18.53,1968 ,187.74,5.0,8
60,1425000,59000,Diesel,Dealer,Automatic,1.0,14.84,2143 ,170,5.0,8
61,265000,120000,Diesel,Individual,Manual,1.0,21.12,1248 ,88.8,5.0,10
62,190000,110000,Petrol,Individual,Manual,3.0,20.36,1197 ,78.9,5.0,10
63,425000,60000,Diesel,Individual,Manual,1.0,21.27,1396 ,88.76,5.0,8
64,630000,147000,Diesel,Individual,Manual,2.0,26.59,1248 ,74,5.0,6
65,600000,25000,Petrol,Individual,Manual,3.0,18.16,1196 ,86.8,5.0,4
66,650000,30000,Petrol,Individual,Manual,1.0,21.4,1197 ,83.1,5.0,2
67,540000,40000,Diesel,Individual,Manual,1.0,22.0,1498 ,108.495,5.0,5
68,630000,135000,Diesel,Individual,Manual,1.0,25.1,1498 ,98.6,5.0,6
69,448000,30000,Petrol,Individual,Automatic,1.0,20.51,998 ,67,5.0,3
70,500000,80000,Diesel,Individual,Manual,1.0,21.66,1498 ,108.62,5.0,4
71,745000,70000,Diesel,Individual,Manual,1.0,24.3,1248 ,88.5,5.0,5
72,1025000,9850,Diesel,Individual,Automatic,1.0,24.3,1248 ,88.5,5.0,2
73,235000,60000,Petrol,Individual,Manual,2.0,20.36,1197 ,78.9,5.0,10
74,630000,70000,Diesel,Individual,Manual,1.0,25.2,1248 ,74,5.0,5
75,1700000,78000,Diesel,Individual,Manual,2.0,12.55,2982 ,168.5,7.0,6
76,450000,120000,Diesel,Individual,Manual,2.0,22.9,1248 ,74,5.0,8
77,450000,120000,Petrol,Individual,Manual,2.0,16.02,1373 ,93.7,7.0,9
79,450000,170000,Diesel,Individual,Manual,1.0,20.54,1598 ,103.6,5.0,8
80,1200000,140000,Diesel,Individual,Manual,1.0,12.99,2494 ,100.6,8.0,5
81,610000,90000,Diesel,Individual,Manual,1.0,22.77,1498 ,98.59,5.0,6
82,2500000,30000,Petrol,Individual,Automatic,2.0,15.71,1998 ,189,5.0,5
83,484999,10000,Petrol,Dealer,Manual,1.0,23.1,998 ,67.04,5.0,4
84,275000,49000,Petrol,Dealer,Manual,1.0,19.02,1198 ,67.05,5.0,5
85,315000,32000,Petrol,Dealer,Manual,1.0,24.7,796 ,47.3,5.0,5
86,275000,38000,Petrol,Dealer,Manual,1.0,24.7,796 ,47.3,5.0,5
88,290000,28000,Petrol,Dealer,Manual,1.0,19.81,1086 ,68.05,5.0,9
89,280000,32000,Petrol,Dealer,Manual,1.0,14.0,796 ,35,5.0,4
90,225000,44000,LPG,Dealer,Manual,1.0,26.2,998 ,58.2,5.0,11
91,455000,42000,Petrol,Dealer,Manual,1.0,16.47,1198 ,74,5.0,6
92,351000,45000,Petrol,Dealer,Manual,2.0,19.81,1086 ,68.05,5.0,6
93,535000,12000,Petrol,Dealer,Manual,2.0,15.04,1598 ,103.6,5.0,9
94,175000,55500,Petrol,Dealer,Manual,1.0,18.2,998 ,67.1,5.0,12
95,525000,61500,Petrol,Dealer,Manual,1.0,18.5,1197 ,82.85,5.0,8
96,600000,150000,Diesel,Individual,Manual,1.0,26.59,1248 ,74,5.0,5
97,565000,72000,Petrol,Dealer,Automatic,1.0,19.1,1197 ,82,5.0,5
98,120000,68000,Petrol,Dealer,Manual,3.0,19.7,796 ,46.3,5.0,13
99,725000,110000,Diesel,Individual,Manual,1.0,22.54,1396 ,88.73,5.0,4
100,185000,77000,Petrol,Dealer,Manual,2.0,21.79,998 ,67.05,5.0,12
101,200000,100000,Diesel,Individual,Manual,2.0,18.8,1248 ,90,5.0,11
102,615000,10000,Petrol,Individual,Manual,1.0,21.21,1197 ,81.80,5.0,2
103,270000,100000,Petrol,Individual,Manual,3.0,15.37,1196 ,73,7.0,5
104,610000,35000,Petrol,Individual,Manual,1.0,21.4,1197 ,83.1,5.0,3
105,625000,70000,Diesel,Individual,Automatic,2.0,11.79,2179 ,120,8.0,7
106,400000,5000,Petrol,Individual,Manual,2.0,19.0,1194 ,94.68,5.0,1
107,866000,37800,Petrol,Individual,Manual,1.0,17.0,1591 ,121.3,5.0,4
108,700000,114000,Petrol,Individual,Manual,1.0,14.3,1798 ,160,5.0,11
109,300000,48000,Petrol,Individual,Manual,1.0,15.8,1172 ,65,5.0,11
110,1700000,32000,Diesel,Individual,Manual,1.0,15.1,2179 ,155,7.0,2
111,375000,100000,Diesel,Individual,Manual,1.0,19.09,1405 ,69.01,5.0,5
112,522000,150000,Diesel,Individual,Manual,2.0,22.32,1582 ,126.32,5.0,8
113,451999,69000,Diesel,Individual,Manual,1.0,21.9,1396 ,88.76,5.0,8
114,300000,100000,Petrol,Individual,Manual,2.0,14.53,1798 ,138.1,5.0,12
115,475000,13000,Petrol,Individual,Manual,1.0,21.63,998 ,67.04,5.0,1
116,780000,60000,Diesel,Individual,Manual,1.0,24.3,1248 ,88.5,5.0,5
117,595000,40000,Petrol,Individual,Manual,1.0,20.85,1197 ,83.14,5.0,4
118,440000,35000,Petrol,Individual,Manual,1.0,20.51,998 ,67.04,5.0,4
120,400000,70000,Diesel,Individual,Manual,3.0,20.45,1461 ,83.8,5.0,7
121,1140000,50000,Diesel,Individual,Manual,1.0,19.67,1582 ,126.2,5.0,5
122,850000,76139,Diesel,Individual,Manual,1.0,23.0,1498 ,98.96,5.0,4
123,370000,175000,Diesel,Individual,Manual,4.0,19.3,1248 ,73.9,5.0,9
124,350000,25000,Petrol,Individual,Manual,1.0,23.01,999 ,67,5.0,3
125,360000,40000,Petrol,Individual,Manual,2.0,23.1,998 ,67.04,5.0,6
126,105000,65000,Petrol,Individual,Manual,4.0,19.7,796 ,46.3,5.0,13
127,625000,90000,Diesel,Individual,Manual,2.0,20.77,1248 ,88.76,7.0,8
128,135000,80000,Petrol,Individual,Manual,2.0,17.92,1086 ,62.1,5.0,12
129,700000,110000,Diesel,Individual,Manual,2.0,20.77,1248 ,88.76,7.0,6
130,690000,1303,Petrol,Dealer,Manual,1.0,17.8,1198 ,86.7,5.0,2
131,3975000,31800,Diesel,Dealer,Automatic,1.0,17.01,1968 ,188,5.0,3
132,5150000,20000,Petrol,Dealer,Automatic,1.0,22.37,2487 ,214.56,5.0,2
133,3200000,45000,Diesel,Dealer,Automatic,1.0,19.33,1999 ,177,5.0,4
134,4100000,17000,Petrol,Individual,Automatic,1.0,9.5,3604 ,280,5.0,4
135,4500000,21000,Diesel,Dealer,Automatic,1.0,12.83,1999 ,148.31,7.0,2
136,6000000,37000,Diesel,Dealer,Automatic,1.0,13.5,2987 ,254.79,5.0,4
137,3790000,29500,Diesel,Dealer,Automatic,1.0,22.48,1995 ,187.74,5.0,3
139,5800000,7500,Diesel,Dealer,Automatic,1.0,16.78,1995 ,190,5.0,2
140,1864999,50000,Petrol,Dealer,Automatic,1.0,14.67,1798 ,177.46,5.0,3
141,2700000,35000,Diesel,Dealer,Automatic,1.0,15.0,2143 ,204,5.0,5
142,1750000,19000,Petrol,Dealer,Automatic,1.0,13.96,1451 ,141,5.0,2
143,795000,41000,Petrol,Dealer,Automatic,1.0,18.0,1497 ,117.6,5.0,4
144,625000,39000,Petrol,Dealer,Automatic,1.0,14.28,1798 ,138.03,5.0,8
145,3400000,22000,Diesel,Dealer,Automatic,1.0,18.0,1969 ,190,5.0,3
146,2650000,53000,Diesel,Dealer,Automatic,1.0,12.07,2967 ,241.4,7.0,6
147,535000,40000,Diesel,Dealer,Manual,1.0,26.21,1248 ,88.5,5.0,6
148,5850000,47000,Diesel,Dealer,Automatic,1.0,13.5,2987 ,282,5.0,4
149,975000,72200,Petrol,Dealer,Automatic,2.0,10.8,2497 ,150,5.0,11
150,805000,49900,Petrol,Dealer,Manual,1.0,16.3,1797 ,147.5,5.0,5
151,2625000,9000,Diesel,Dealer,Automatic,1.0,13.6,1999 ,177,5.0,4
152,811000,11000,Petrol,Dealer,Manual,1.0,17.0,1198 ,108.5,5.0,3
153,375000,49000,Petrol,Individual,Manual,1.0,15.04,1598 ,103.6,5.0,10
154,550000,95000,Petrol,Individual,Manual,1.0,16.3,1797 ,147.5,5.0,9
155,645000,11000,Petrol,Dealer,Automatic,1.0,14.3,1598 ,103.5,5.0,5
156,2550000,18000,Petrol,Dealer,Automatic,1.0,15.04,1991 ,183,5.0,3
157,599000,46100,Petrol,Dealer,Manual,1.0,16.02,1373 ,93.7,7.0,7
158,2700000,16000,Petrol,Dealer,Automatic,1.0,14.74,1991 ,181.04,5.0,4
159,875000,18000,Petrol,Dealer,Automatic,1.0,15.6,1497 ,116.3,5.0,4
160,894999,9654,Petrol,Dealer,Automatic,1.0,19.56,1197 ,81.80,5.0,2
161,175000,11000,Petrol,Dealer,Manual,1.0,23.95,998 ,67.05,5.0,10
162,340000,24300,Petrol,Dealer,Manual,1.0,21.21,1197 ,81.80,5.0,9
163,1525000,42163,Diesel,Dealer,Automatic,2.0,11.36,2755 ,171.5,7.0,5
164,1025000,8000,Diesel,Dealer,Automatic,1.0,21.5,1497 ,108.5,5.0,3
165,2150000,30000,Diesel,Dealer,Automatic,1.0,22.69,1995 ,190,5.0,5
166,1900000,41000,Petrol,Dealer,Automatic,1.0,19.16,2494 ,157.7,5.0,5
167,2900000,12000,Diesel,Dealer,Automatic,1.0,18.12,1995 ,190,5.0,5
168,450000,71000,Petrol,Dealer,Automatic,1.0,12.1,2362 ,164.7,5.0,12
169,850000,20000,Petrol,Individual,Manual,1.0,17.5,1373 ,91.1,7.0,5
170,10000000,30000,Petrol,Individual,Automatic,1.0,42.0,1969 ,400,4.0,4
171,300000,100000,Diesel,Individual,Manual,2.0,20.54,1598 ,103.6,5.0,10
172,575000,9500,Petrol,Individual,Manual,1.0,18.16,1196 ,86.8,5.0,3
173,160000,120000,Diesel,Individual,Manual,1.0,20.0,1399 ,68,5.0,10
174,515000,36600,Petrol,Individual,Manual,1.0,20.4,1197 ,81.80,5.0,6
175,390000,50000,Petrol,Individual,Automatic,2.0,20.51,998 ,67,5.0,6
176,550000,14000,Petrol,Individual,Manual,2.0,18.6,1197 ,81.83,5.0,5
177,40000,40000,Petrol,Individual,Manual,2.0,16.1,796 ,37,4.0,22
178,220000,120000,Diesel,Individual,Manual,1.0,21.1,1248 ,73.9,5.0,11
179,425000,70000,Petrol,Individual,Manual,1.0,18.9,1197 ,82,5.0,6
180,480000,13000,Petrol,Individual,Manual,1.0,19.44,999 ,75,5.0,2
181,400000,60000,Petrol,Individual,Manual,2.0,18.9,1197 ,82,5.0,7
182,487000,35000,Petrol,Individual,Manual,1.0,19.1,1197 ,85.8,5.0,7
183,386000,44000,Petrol,Individual,Manual,2.0,19.1,1197 ,82,5.0,5
184,100000,120000,Petrol,Individual,Manual,2.0,13.0,1493 ,100,5.0,16
185,300000,60000,Diesel,Individual,Manual,1.0,21.43,1364 ,87.2,5.0,11
186,100000,60000,Petrol,Individual,Manual,1.0,18.5,796 ,53,5.0,21
187,1750000,30000,Diesel,Individual,Manual,2.0,13.0,2982 ,168.5,7.0,7
188,450000,15000,Petrol,Individual,Manual,2.0,18.15,1198 ,82,6.0,5
189,490000,90000,Diesel,Individual,Manual,1.0,22.95,1248 ,74,5.0,4
190,345000,47000,Petrol,Individual,Manual,2.0,17.0,1497 ,118,5.0,12
191,85000,90000,Petrol,Individual,Manual,1.0,17.3,993 ,60,5.0,16
192,215000,120600,Petrol,Individual,Manual,2.0,18.9,998 ,67.1,5.0,11
193,320000,100000,Petrol,Individual,Manual,3.0,16.2,1599 ,103.2,5.0,11
194,459999,60000,Petrol,Individual,Manual,2.0,20.85,1197 ,83.14,5.0,5
195,65000,86000,Petrol,Individual,Manual,1.0,15.3,1341 ,83,5.0,16
196,720000,5000,Petrol,Individual,Manual,1.0,18.6,1197 ,81.86,5.0,1
197,800000,37000,Diesel,Individual,Manual,1.0,28.09,1248 ,88.5,5.0,4
198,520000,14000,Petrol,Individual,Manual,1.0,20.3,1199 ,84,5.0,2
199,580000,70000,Diesel,Individual,Manual,1.0,20.77,1248 ,88.76,7.0,6
201,600000,50000,Petrol,Individual,Manual,1.0,17.4,1497 ,117.3,5.0,6
202,290000,60000,Petrol,Individual,Manual,2.0,19.4,1198 ,86.8,5.0,7
203,360000,50000,CNG,Individual,Manual,1.0,26.6,998 ,58.16,5.0,5
204,550000,50000,Petrol,Individual,Manual,1.0,20.85,1197 ,83.14,5.0,4
205,375000,70000,Petrol,Individual,Manual,1.0,18.5,1197 ,82.85,5.0,8
207,420000,35000,Petrol,Individual,Automatic,1.0,20.51,998 ,67,5.0,3
208,550000,20000,Petrol,Individual,Manual,1.0,21.21,1197 ,81.80,5.0,4
209,270000,20000,Petrol,Individual,Manual,1.0,24.7,796 ,47.3,5.0,3
210,700000,7800,Petrol,Individual,Automatic,1.0,22.0,1197 ,81.80,5.0,3
211,500000,20000,Petrol,Individual,Manual,1.0,20.4,1197 ,81.80,5.0,4
212,1250000,15000,Diesel,Individual,Manual,1.0,17.6,2179 ,147.94,7.0,2
213,320000,31377,Petrol,Individual,Manual,2.0,18.5,1197 ,82.85,5.0,8
214,700000,50000,Diesel,Individual,Manual,1.0,28.4,1248 ,74.02,5.0,3
215,290000,60000,Petrol,Individual,Manual,1.0,20.51,998 ,67.04,5.0,6
216,550000,100000,Petrol,Individual,Automatic,1.0,14.53,1794 ,138.1,5.0,9
217,265000,60000,Petrol,Individual,Manual,1.0,19.4,1198 ,86.8,5.0,9
218,830000,5000,Petrol,Individual,Automatic,1.0,21.4,1197 ,83.1,5.0,3
219,800000,60000,Diesel,Individual,Manual,1.0,14.1,2179 ,147.94,7.0,4
220,160000,25000,Petrol,Individual,Manual,2.0,19.7,796 ,46.3,5.0,10
221,335000,30000,Petrol,Individual,Manual,1.0,25.17,799 ,53.3,5.0,3
222,329000,80000,Petrol,Individual,Manual,2.0,20.63,1198 ,67,5.0,4
223,775000,75000,Diesel,Individual,Manual,1.0,24.3,1248 ,88.5,5.0,4
224,524000,32000,Petrol,Individual,Manual,1.0,20.14,1197 ,81.86,5.0,1
225,245000,40000,Petrol,Individual,Manual,1.0,22.74,796 ,47.3,5.0,6
226,275000,93000,Petrol,Individual,Manual,2.0,17.0,1197 ,80,5.0,9
227,520000,60000,Petrol,Individual,Manual,1.0,17.57,1193 ,88.7,5.0,3
229,550000,37000,Petrol,Individual,Manual,1.0,16.95,1498 ,97.7,5.0,7
230,910000,15000,Petrol,Individual,Manual,1.0,17.0,1497 ,121.36,5.0,3
231,300000,80000,Petrol,Individual,Manual,1.0,19.49,1198 ,67.04,5.0,6
232,350000,140000,Petrol,Individual,Manual,1.0,20.51,998 ,67.04,5.0,5
233,900000,70000,Diesel,Individual,Manual,1.0,12.83,2696 ,162,7.0,8
234,300000,120000,Diesel,Individual,Manual,2.0,17.21,1493 ,100,7.0,8
235,250000,110000,Diesel,Individual,Manual,2.0,21.1,1248 ,73.9,5.0,11
236,1100000,37000,Diesel,Individual,Manual,1.0,19.67,1582 ,126.2,5.0,4
237,270000,44000,Petrol,Individual,Manual,1.0,25.17,799 ,53.3,5.0,5
238,640000,80000,Diesel,Individual,Manual,1.0,20.77,1248 ,88.76,7.0,6
239,650000,125000,Diesel,Individual,Manual,1.0,15.1,2179 ,140,7.0,6
240,409999,13500,Petrol,Individual,Manual,1.0,15.37,1196 ,73,5.0,4
241,165000,75000,Petrol,Individual,Manual,1.0,17.92,1086 ,62.1,5.0,10
242,80000,120000,Petrol,Individual,Manual,2.0,13.2,1495 ,94,5.0,14
243,535000,120000,Diesel,Individual,Manual,1.0,15.1,2179 ,140,7.0,9
244,700000,70000,Diesel,Individual,Manual,1.0,12.99,2494 ,100.57,7.0,8
245,550000,70000,Diesel,Individual,Manual,1.0,23.4,1248 ,74,5.0,8
246,680000,15000,Petrol,Individual,Automatic,1.0,19.0,1199 ,88.76,5.0,2
247,200000,53000,Petrol,Individual,Manual,2.0,20.36,1197 ,78.9,5.0,12
248,500000,120000,Diesel,Individual,Manual,2.0,23.4,1248 ,74,5.0,7
249,1000000,70000,Diesel,Individual,Manual,1.0,24.52,1248 ,88.5,7.0,5
250,110000,120000,Petrol,Individual,Manual,2.0,14.2,1341 ,82.9,5.0,13
251,320000,100000,Petrol,Individual,Manual,2.0,18.5,1197 ,80,5.0,9
253,350000,100000,Petrol,Individual,Manual,1.0,20.4,1197 ,83.11,5.0,6
254,170000,162500,Diesel,Individual,Manual,1.0,19.4,1405 ,70,5.0,8
255,800000,39000,Diesel,Individual,Manual,1.0,22.54,1396 ,88.73,5.0,4
256,500000,75000,Diesel,Individual,Manual,1.0,26.8,1248 ,74,5.0,4
257,1380000,50000,Diesel,Individual,Automatic,1.0,17.6,2179 ,153.86,7.0,4
258,1300000,40000,Diesel,Individual,Manual,1.0,17.3,1497 ,121,8.0,2
259,530000,92500,Diesel,Individual,Manual,1.0,22.32,1582 ,126.3,5.0,8
260,360000,158000,Diesel,Individual,Manual,1.0,23.4,1248 ,74,5.0,9
261,310000,120000,Diesel,Individual,Manual,1.0,19.3,1248 ,73.9,5.0,9
262,725000,50000,Diesel,Individual,Manual,2.0,26.0,1498 ,98.6,5.0,6
263,340000,110000,Diesel,Individual,Manual,1.0,19.3,1248 ,73.9,5.0,9
264,550000,2000,Diesel,Individual,Manual,2.0,25.4,1186 ,73.97,5.0,4
265,1150000,181000,Diesel,Individual,Manual,2.0,11.5,2982 ,171,7.0,10
266,380000,70000,Diesel,Individual,Manual,1.0,27.28,1047 ,69,5.0,5
267,350000,90000,Petrol,Individual,Automatic,2.0,17.97,1498 ,99.6,5.0,8
268,610000,2000,Petrol,Individual,Manual,1.0,18.6,1197 ,81.86,5.0,2
269,525000,20000,Petrol,Individual,Manual,1.0,20.85,1197 ,83.14,5.0,6
270,480000,120000,Diesel,Individual,Manual,1.0,12.8,2494 ,102,7.0,10
271,780000,35000,Diesel,Individual,Manual,1.0,16.55,2498 ,105,6.0,4
272,320000,193000,Diesel,Individual,Manual,1.0,19.3,1248 ,73.9,5.0,9
273,375000,80000,Petrol,Individual,Manual,1.0,20.4,1197 ,81.80,5.0,7
274,300000,40000,Petrol,Individual,Manual,1.0,19.02,1198 ,67.05,5.0,2
275,500000,70000,Diesel,Individual,Manual,4.0,22.54,1396 ,88.73,5.0,6
276,404000,122358,Diesel,Individual,Manual,1.0,12.05,2179 ,120,9.0,10
277,500000,75000,Diesel,Individual,Manual,1.0,14.07,2956 ,69.01,7.0,6
278,350000,120000,Diesel,Individual,Manual,1.0,27.28,1047 ,69,5.0,4
279,380000,40000,Petrol,Individual,Manual,1.0,17.57,1193 ,88.7,5.0,6
280,114999,95200,Petrol,Individual,Manual,3.0,13.2,1495 ,94,5.0,13
281,335000,33033,Petrol,Dealer,Manual,1.0,19.4,1198 ,86.8,5.0,7
282,465000,63063,Petrol,Dealer,Automatic,1.0,18.9,1197 ,82,5.0,6
283,290000,60000,Diesel,Individual,Manual,1.0,21.02,1248 ,88.76,5.0,9
284,110000,45000,Petrol,Individual,Manual,2.0,19.7,796 ,46.3,5.0,16
285,450000,80000,Diesel,Individual,Manual,3.0,11.57,2179 ,138.1,7.0,10
286,400000,170000,Diesel,Individual,Manual,2.0,13.6,2523 ,63,7.0,12
287,210000,207890,Diesel,Individual,Manual,2.0,13.6,2523 ,63,7.0,14
288,4600000,7976,Diesel,Individual,Automatic,1.0,17.9,2143 ,170,5.0,3
289,220000,35000,Petrol,Individual,Manual,1.0,16.8,796 ,34.2,8.0,5
290,450000,35000,Petrol,Individual,Manual,1.0,18.9,1197 ,82,5.0,4
291,450000,35000,Petrol,Individual,Manual,1.0,18.9,1197 ,82,5.0,4
292,290000,50000,Petrol,Individual,Automatic,1.0,16.95,1197 ,78.9,5.0,8
293,520000,20000,Petrol,Individual,Manual,1.0,20.4,1197 ,81.80,5.0,5
294,265000,20000,Petrol,Individual,Automatic,1.0,16.95,1197 ,78.9,5.0,10
295,330000,50000,Petrol,Individual,Manual,2.0,18.6,1197 ,85.8,5.0,9
296,330000,50000,Petrol,Individual,Manual,2.0,18.6,1197 ,85.8,5.0,9
297,509999,120000,Diesel,Individual,Manual,1.0,15.96,2523 ,62.1,7.0,7
298,500000,70000,Petrol,Individual,Manual,1.0,17.1,1591 ,121.3,5.0,7
299,525000,50000,Petrol,Individual,Manual,1.0,17.19,1197 ,81.86,5.0,6
300,675000,16500,Petrol,Individual,Manual,1.0,21.01,1197 ,81.80,5.0,2
301,300000,70000,Petrol,Individual,Manual,1.0,17.0,1197 ,80,5.0,11
302,90000,99361,Petrol,Individual,Manual,2.0,19.7,796 ,46.3,5.0,16
303,650000,25000,Diesel,Individual,Manual,1.0,26.59,1248 ,74,5.0,4
304,409000,70000,Petrol,Individual,Manual,2.0,19.1,1197 ,85.8,5.0,7
305,395000,80000,Diesel,Individual,Manual,2.0,24.0,1120 ,70,5.0,6
307,400000,70000,Petrol,Individual,Manual,2.0,19.1,1197 ,85.8,5.0,7
308,120000,60000,Petrol,Individual,Manual,3.0,18.6,1199 ,79.4,5.0,9
309,645000,10000,Petrol,Individual,Automatic,1.0,20.3,1199 ,84,5.0,3
310,81000,80000,Petrol,Individual,Manual,1.0,16.1,796 ,37,4.0,15
311,1300000,30000,Diesel,Individual,Manual,1.0,25.6,1498 ,97.9,5.0,4
312,1250000,33000,Diesel,Individual,Manual,1.0,25.6,1498 ,97.9,5.0,4
313,535000,90000,Petrol,Individual,Manual,3.0,16.02,1373 ,93.7,7.0,8
314,555000,80100,Diesel,Individual,Manual,2.0,19.01,1461 ,108.5,5.0,7
315,725000,120000,Petrol,Individual,Manual,1.0,17.4,1497 ,117.3,5.0,7
317,229999,40000,Petrol,Individual,Manual,1.0,25.17,799 ,53.3,5.0,5
318,800000,160000,Diesel,Individual,Manual,2.0,12.99,2494 ,100.6,8.0,8
319,409999,47000,Petrol,Individual,Manual,1.0,20.51,998 ,67.04,5.0,4
320,1210000,25000,Diesel,Individual,Manual,1.0,21.38,1396 ,88.7,5.0,3
321,400000,26000,Petrol,Individual,Manual,1.0,23.84,1199 ,84,5.0,4
322,520000,29000,Diesel,Individual,Manual,1.0,24.0,1186 ,73.97,5.0,3
323,650000,50000,Petrol,Individual,Automatic,1.0,21.4,1197 ,83.1,5.0,5
324,325000,58000,Petrol,Individual,Manual,3.0,16.1,1298 ,88.2,5.0,10
325,420000,120000,Petrol,Individual,Automatic,1.0,17.4,1197 ,85.8,5.0,9
326,400000,50000,Petrol,Individual,Manual,1.0,20.4,1197 ,81.80,5.0,7
327,254999,80000,Petrol,Individual,Manual,4.0,17.0,1197 ,80,5.0,11
328,65000,60000,Petrol,Individual,Manual,4.0,17.3,993 ,60,5.0,18
